frame=11 farmer=8 fight=0 camp=0 campProject=-1 range=0 farm=0 food=200 wood=200 pop=9/12
frame=1011 farmer=9 fight=0 camp=0 campProject=-1 range=0 farm=0 food=80 wood=55 pop=10/16
frame=2011 farmer=10 fight=0 camp=1 campProject=18 range=0 farm=0 food=90 wood=85 pop=11/16
frame=3011 farmer=10 fight=1 camp=1 campProject=18 range=0 farm=0 food=90 wood=125 pop=12/16
frame=4011 farmer=10 fight=3 camp=1 campProject=18 range=0 farm=0 food=50 wood=135 pop=14/20
frame=5011 farmer=10 fight=4 camp=1 campProject=19 range=0 farm=0 food=80 wood=25 pop=15/20
frame=6011 farmer=10 fight=6 camp=1 campProject=18 range=1 farm=0 food=60 wood=25 pop=17/20
frame=7011 farmer=10 fight=8 camp=1 campProject=18 range=1 farm=0 food=50 wood=45 pop=19/24
frame=8011 farmer=9 fight=9 camp=1 campProject=0 range=1 farm=0 food=0 wood=15 pop=19/24
frame=9011 farmer=9 fight=9 camp=1 campProject=0 range=1 farm=0 food=20 wood=45 pop=19/28
frame=10011 farmer=9 fight=9 camp=1 campProject=0 range=1 farm=0 food=10 wood=75 pop=19/28
frame=11011 farmer=10 fight=9 camp=1 campProject=0 range=1 farm=0 food=40 wood=115 pop=20/28
frame=12011 farmer=10 fight=10 camp=1 campProject=0 range=1 farm=0 food=20 wood=15 pop=21/28
frame=13011 farmer=10 fight=10 camp=1 campProject=0 range=1 farm=0 food=10 wood=35 pop=21/28
frame=14011 farmer=10 fight=11 camp=1 campProject=0 range=1 farm=0 food=20 wood=55 pop=22/28
frame=15011 farmer=9 fight=8 camp=1 campProject=0 range=1 farm=0 food=20 wood=55 pop=18/28
frame=16011 farmer=7 fight=3 camp=1 campProject=0 range=1 farm=0 food=20 wood=55 pop=11/28
frame=17011 farmer=3 fight=4 camp=1 campProject=0 range=1 farm=0 food=20 wood=55 pop=8/28
frame=18011 farmer=3 fight=4 camp=1 campProject=0 range=1 farm=0 food=30 wood=65 pop=8/28
frame=19011 farmer=3 fight=5 camp=1 campProject=0 range=1 farm=1 food=0 wood=0 pop=9/28
frame=20011 farmer=3 fight=5 camp=1 campProject=0 range=1 farm=1 food=10 wood=20 pop=9/28
frame=21011 farmer=3 fight=5 camp=1 campProject=0 range=1 farm=1 food=20 wood=30 pop=9/28
